Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/SpringMVC_Hibernate_CRUD_Project,283,283,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/.settings,57,57,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/JAVA/Eclipse workspaces/SPRING/SpringMVC_Hibernate_CRUD_Project/target/m2e-wtp/web-resources/META-INF,5,5,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/JAVA/Eclipse workspaces/SPRING/SpringMVC_Hibernate_CRUD_Project/target/m2e-wtp/web-resources/META-INF/maven/com.eagle.springmvchibernatecrudproject/SpringMVC_Hibernate_CRUD_Project,177,177,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/java/com/eagle/controller,75,75,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/java/com/eagle/dao,86,86,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/java/com/eagle/entity,79,79,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/java/com/eagle/service,84,84,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/java/com/eagle/util,56,56,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/resources,17,17,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/webapp/WEB-INF,102,102,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/webapp/WEB-INF/pages,186,186,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/webapp/resources/css,11383,11383,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/src/main/webapp/resources/js,10240,10240,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target,177931,177931,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF,25,25,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/classes,17,17,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/classes/com/eagle/controller,35,35,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/classes/com/eagle/dao,27,27,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/classes/com/eagle/entity,19,19,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/classes/com/eagle/service,17,17,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/classes/com/eagle/util,18,18,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/config,79,79,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/lib,203140,203140,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/WEB-INF/pages,186,186,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/resources/css,11383,11383,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/SpringMVC_Hibernate_CRUD_Project-1.0.0-SNAPSHOT/resources/js,10240,10240,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/classes,17,17,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/classes/com/eagle/controller,34,34,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/classes/com/eagle/dao,36,36,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/classes/com/eagle/entity,24,24,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/classes/com/eagle/service,22,22,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/classes/com/eagle/util,22,22,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/m2e-wtp/web-resources/META-INF,5,5,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/m2e-wtp/web-resources/META-INF/maven/com.eagle.springmvchibernatecrudproject/SpringMVC_Hibernate_CRUD_Project,153,153,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/maven-archiver,5,5,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/maven-status/maven-compiler-plugin/compile/default-compile,7,7,0,"100.00"
/SpringMVC_Hibernate_CRUD_Project/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile,0,0,0,"0.00"
/SpringMVC_Hibernate_CRUD_Project/target/tomcat/conf,1226,1226,0,"100.00"
